,Date,company_name,price_at_close,price_change,price_after_hours,previous_close,today opened,price range,52 week range,volume,average volume,market cap,beta (3Y Monthly),PE Ratio,EPS,earnings date,Dividend Yield,1Y target est
91,Jun 13 2021,"Kinsale Capital Group, Inc. (KNSL)","4,247.44",+8.26,,161.36,162.66,162.19 - 163.60,141.85 - 252.70,"64,970","113,571",3.729B,0.78,32.48,5.03,"Jul 28, 2021 - Aug 02, 2021",0.44 (0.27%),195.02
92,Jun 13 2021,"Walker & Dunlop, Inc. (WD)","4,247.44",+8.26,,99.83,100.82,99.91 - 101.31,45.35 - 114.77,"88,472","160,512",3.121B,1.31,13.12,7.69,"Aug 03, 2021 - Aug 09, 2021",2.00 (1.77%),116.67
93,Jun 13 2021,The Cheesecake Factory Incorporated (CAKE),"4,247.44",+8.26,,56.86,57.75,56.00 - 58.10,19.78 - 65.81,"4,925,907","833,779",2.607B,1.79,N/A,-3.24,"Jul 27, 2021 - Aug 02, 2021",N/A (N/A),61.92
94,Jun 13 2021,Minerals Technologies Inc. (MTX),"4,247.44",+8.26,,82.65,83.15,82.72 - 83.70,42.06 - 88.62,"102,233","134,160",2.807B,1.49,25.26,3.29,"Jul 28, 2021 - Aug 02, 2021",0.20 (0.25%),93.00
95,Jun 13 2021,Tompkins Financial Corporation (TMP),"4,247.44",+8.26,,82.63,83.38,82.66 - 83.42,54.32 - 92.80,"15,522","38,141",1.226B,0.71,12.94,6.39,"Jan 29, 2021",2.16 (2.61%),83.50
96,Jun 13 2021,"Raven Industries, Inc. (RAVN)","4,247.44",+8.26,,43.04,43.12,42.70 - 43.59,19.45 - 47.43,"135,516","288,438",1.559B,1.52,83.60,0.52,"Aug 24, 2021 - Aug 30, 2021",N/A (N/A),49.50
97,Jun 13 2021,"Interface, Inc. (TILE)","4,247.44",+8.26,,16.26,16.30,16.21 - 16.50,5.88 - 17.11,"376,215","391,439",961.11M,2.13,N/A,-1.23,"Aug 05, 2021 - Aug 09, 2021",0.04 (0.27%),19.00
98,Jun 13 2021,Callon Petroleum Company (CPE),"4,247.44",+8.26,,48.24,48.72,47.91 - 49.49,4.50 - 52.50,"894,440","2,041,222",2.26B,3.46,N/A,-63.79,"Aug 02, 2021 - Aug 06, 2021",N/A (N/A),39.57
99,Jun 13 2021,Heritage Commerce Corp (HTBK),"4,247.44",+8.26,,11.75,11.86,11.77 - 11.99,6.13 - 12.65,"288,823","290,234",710.198M,1.23,15.82,0.75,"Jul 21, 2021 - Jul 26, 2021",0.52 (4.41%),13.40
100,Jun 13 2021,"Myers Industries, Inc. (MYE)","4,247.44",+8.26,,21.23,21.35,21.25 - 21.55,12.75 - 23.98,"49,213","147,042",770.511M,1.46,20.94,1.02,"May 06, 2021",0.54 (2.38%),25.00
